source,target,pathway_name,prob,pval
FIB,SM,EGF,0.0005074605048998595,0.0
FIB,EG,EGF,0.0007538990375893344,0.0
ENDO,EG,EGF,0.00048220670369784007,0.0
SM,ENDO,EGF,0.0035620985374202087,0.0
SM,SM,EGF,0.007546826126943568,0.0
SM,Keratinocyte,EGF,0.0007138184453765768,0.0
SM,Immune,EGF,0.0007195761938097114,0.0
EG,FIB,EGF,0.00044281430557510887,0.0
EG,SM,EGF,0.0022389735467917113,0.0
EG,EG,EGF,0.0032918426617547557,0.0
EG,Keratinocyte,EGF,0.0007788430622072989,0.0
EG,Immune,EGF,0.0006020148940215658,0.0
Keratinocyte,SM,EGF,0.0012294663188385287,0.0
Keratinocyte,EG,EGF,0.0023529703700957993,0.0
Keratinocyte,Keratinocyte,EGF,0.002016873087829967,0.0
Immune,EG,EGF,0.0028147268116161255,0.0
ENDO,Immune,PARs,0.0004740884551426795,0.0
SM,ENDO,PARs,0.0005621395666101244,0.0
SM,SM,PARs,0.0070972129175671745,0.0
SM,EG,PARs,0.0017310679862635138,0.0
EG,FIB,PARs,0.001167811978575024,0.0
EG,ENDO,PARs,0.000904580264574838,0.0
EG,SM,PARs,0.0028125598073665825,0.0
EG,EG,PARs,0.007269903851067414,0.0
EG,Keratinocyte,PARs,0.0024851487388380137,0.0
EG,Immune,PARs,0.0017993230239033977,0.0
Keratinocyte,SM,PARs,0.0007136492503586017,0.0
Keratinocyte,EG,PARs,0.002195566160252533,0.0
Keratinocyte,Immune,PARs,0.0004261835451723783,0.0
Immune,EG,PARs,0.0007868493902965529,0.0
FIB,ENDO,JAM,0.00023055607613414668,0.0
FIB,SM,JAM,0.0018629698947417153,0.0
FIB,Immune,JAM,0.0003041565516992687,0.0
ENDO,FIB,JAM,0.00023055607613414668,0.0
ENDO,SM,JAM,0.0011019514990441618,0.0
ENDO,Immune,JAM,0.00028387695847763197,0.0
SM,FIB,JAM,0.0018629698947417153,0.0
SM,ENDO,JAM,0.000651265164445218,0.0
SM,SM,JAM,0.0067061818460328465,0.0
SM,Immune,JAM,0.00047498127551344493,0.0
EG,EG,JAM,0.01107993184789513,0.0
EG,Immune,JAM,0.0008377741481145995,0.0
Keratinocyte,Immune,JAM,0.0007319441715055482,0.0
Immune,FIB,JAM,0.00030415655169926877,0.0
Immune,ENDO,JAM,0.00028387695847763197,0.0
Immune,SM,JAM,0.0009521754516042321,0.0
