"","MGI.symbol","Symbol"
"8540","Agap1","agap1"
"8541","Rcc1","rcc1"
"8542","Cog3","cog3"
"8543","Gpr35","gpr35.1"
"8544","Stxbp3","stxbp3"
"8545","Caprin1","caprin1a"
"8546","Caprin1","caprin1b"
"8547","Dus3l","dus3l"
"8548","Tmed2","tmed2"
"8549","Rnf128","rnf128a"
"8550","Ccdc172","ccdc172"
"8551","Gm28729","si:ch211-202c21.7"
"8552","Rgn","rgn"
"8553","Tmed6","tmed6"
"8554","Prkg2","prkg2"
"8555","Fam124a","si:dkeyp-74a11.1"
"8556","Pax1","pax1b"
"8557","Map4k3","map4k3b"
"8558","Map4k3","map4k3a"
"8559","Itgae","itgae.2"
"8560","Ganab","ganab"
"8561","Ganab","zgc:171967"
"8562","Armc2","armc2"
"8563","Helq","helq"
"8564","Slc5a12","slc5a12"
"8565","Tti2","tti2"
"8566","Omp","ompb"
"8567","Omp","ompa"
"8568","4933416I08Rik","setx"
"8569","4933416I08Rik","dna2"
"8570","Alad","alad"
"8571","Magoh","magoh"
"8572","Lhpp","lhpp"
"8573","Tnfrsf1a","si:ch211-112c15.8"
"8574","Tbr1","tbr1a"
"8575","Rsrc2","rsrc2"
"8576","Rnf8","rnf8"
"8577","Pqlc3","slc66a3"
"8578","Stpg1","stpg1"
"8579","Meox1","meox1"
"8580","Ghsr","ghsra"
"8581","Ghsr","ghsrb"
"8582","Brd2","brd2a"
"8583","Eef1b2","eef1b2"
"8584","Prorp","prorp"
"8585","Tlk1","tlk1b"
"8586","Tlk1","tlk1a"
"8587","Slc1a4","slc1a4"
"8588","Six4","six4b"
"8589","Lmo2","lmo2"
"8590","Fbxo15","fbxo15"
"8591","Rab11b","rab11ba"
"8592","Pla2g4a","pla2g4ab"
"8593","Cep63","cep63"
"8594","Klhl40","klhl40a"
"8595","Smim7","smim7"
"8596","Pex16","pex16"
"8597","Tns1","tns1b"
"8598","Alg11","alg11"
"8599","Parn","parn"
"8600","Adam12","adam12"
"8601","Rtf1","rtf1"
"8602","Cfap99","cfap99"
"8603","Ywhab","ywhabb"
"8604","Pkd1l2","pkd1l2b"
"8605","Pde6d","pde6d"
"8606","Unc50","unc50"
"8607","Utrn","utrn"
"8608","Frmpd3","frmpd3"
"8609","Map1lc3a","map1lc3a"
"8610","Arfgef3","arfgef3"
"8611","Plppr3","plppr3b"
"8612","Zdhhc6","zdhhc6"
"8613","Prima1","si:dkey-85n7.6"
"8614","Dek","dek"
"8615","Rnd2","rnd2"
"8616","Ints2","ints2"
"8617","Lcmt2","lcmt2"
"8618","Als2","als2b"
"8619","Frk","frk"
"8620","Tbc1d1","tbc1d1"
"8621","Slc35a2","slc35a2"
"8622","Uggt2","uggt2"
"8623","Tbp","tbp"
"8624","Serpina10","serpina10a"
"8625","Relch","relch"
"8626","Ctdsp2","ctdsp2"
"8627","Dnmt3a","dnmt3ab"
"8628","Dnmt3a","dnmt3aa"
"8629","Prkd2","prkd2"
"8630","Tmem131","tmem131"
"8631","Nrbp2","nrbp2b"
"8632","Dcaf11","dcaf11"
"8633","Dhps","dhps"
"8634","Pdk1","pdk1"
"8635","Got1l1","got1l1"
"8636","Zmynd8","prkcbp1l"
"8637","Ankrd27","ankrd27"
"8638","Zc3h7b","zc3h7bb"
"8639","Ubqln4","ubqln4"
"8640","Echs1","echs1"
"8641","Ccdc78","ccdc78"
"8642","Rxra","rxraa"
"8643","2310057M21Rik","si:rp71-19m20.1"
"8644","4931406B18Rik","si:dkey-238d18.7"
"8645","4931406B18Rik","si:ch73-380l3.2"
"8646","Nt5c1b","nt5c1bb"
"8647","Kmt5c","kmt5c"
"8648","Mtus1","mtus1b"
"8649","Ttl","ttl"
"8650","Tcf7l1","tcf7l1b"
"8651","Ano9","ano9a"
"8652","Bcap29","bcap29"
"8653","Ptp4a1","ptp4a1"
"8654","Cks1brt","cks1b"
"8655","Tnik","tnika"
"8656","Srcap","srcap"
"8657","Ildr1","ildr1b"
"8658","Sorcs2","sorcs2"
"8659","Mesd","mesd"
"8660","Mkln1","mkln1"
"8661","Cyp51","cyp51"
"8662","Mrpl19","mrpl19"
"8663","Rcor1","rcor1"
"8664","Gda","gda"
"8665","Simc1","si:ch211-199b20.3"
"8666","Sall1","sall1a"
"8667","Rel","rel"
"8668","Ptch2","ptch2"
"8669","Tnfaip1","tnfaip1"
"8670","Gp1bb","gp1bb"
"8671","Dcaf13","dcaf13"
"8672","Cabp7","cabp7b"
"8673","Jak1","jak1"
"8674","Gpkow","gpkow"
"8675","Errfi1","errfi1a"
"8676","Cacng3","cacng3a"
"8677","Asb15","asb15a"
"8678","Nhs","nhsb"
"8679","Abhd17a","abhd17aa"
"8680","Commd1","commd1"
"8681","Ppp2r3a","ppp2r3a"
"8682","Zfp511","znf511"
"8683","Ehmt1","ehmt1a"
"8684","Gal3st3","gal3st3"
"8685","Fkbp4","fkbp4"
"8686","Znhit2","znhit2"
"8687","Grb10","grb10b"
"8688","Cdca2","si:ch211-244o22.2"
"8689","Kcnh5","kcnh5a"
"8690","Aftph","aftpha"
"8691","Abhd12b","abhd12"
"8692","Fbln5","fbln5"
"8693","Ccdc85b","ccdc85b"
"8694","Pde11a","pde11al"
"8695","Map3k13","si:ch211-45c16.2"
